id,selfreport_date,selfreport_duration,selfreport_finished,DD-1,DD-2,DD-3,DD-4,DD-5,DD-6,DD-7,DD-8,DD-9,DD-10,DD-11,DD-12,DD-13,DD-14,DD-15,DD-16,DD-17,DD-18,DD-19,DD-20,DD-21,DD-22,DD-23,DD-24,DD-25,DD-26,DD-27,BIS-1,BIS-2,BIS-3,BIS-4,BIS-5,BIS-6,BIS-7,BIS-8,BIS-9,BIS-10,BIS-11,BIS-12,BIS-13,BIS-14,BIS-15,BIS-16,BIS-17,BIS-18,BIS-19,BIS-20,BIS-21,BIS-22,BIS-23,BIS-24,BIS-25,BIS-26,BIS-27,BIS-28,BIS-29,BIS-30,UP-1,UP-2,UP-3,UP-4,UP-5,UP-6,UP-7,UP-8,UP-9,UP-10,UP-11,UP-12,UP-13,UP-14,UP-15,UP-16,UP-17,UP-18,UP-19,UP-20,UP-21,UP-22,UP-23,UP-24,UP-25,UP-26,UP-27,UP-28,UP-29,UP-30,UP-31,UP-32,UP-33,UP-34,UP-35,UP-36,UP-37,UP-38,UP-39,UP-40,UP-41,UP-42,UP-43,UP-44,UP-45,UP-46,UP-47,UP-48,UP-49,UP-50,UP-51,UP-52,UP-53,UP-54,UP-55,UP-56,UP-57,UP-58,UP-59
s0001,7/2/21 10:40,262,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,3,3,4,1,3,4,1,3,1,1,1,1,3,1,1,2,2,1,1,4,1,3,1,2,4,2,1,4,1,4,1,3,4,1,3,2,3,4,1,4,1,3,4,1,3,3,1,4,2,1,1,4,4,2,1,1,4,4,4,2,2,4,4,2,2,2,4,4,1,2,1,4,4,4,4,1,4,1,2,2,4,4
s0002,7/2/21 10:56,459,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,4,1,2,2,1,1,4,4,3,2,1,4,3,1,2,1,1,1,1,3,1,1,2,1,1,1,2,1,1,3,1,4,3,1,4,1,3,2,4,4,1,4,2,2,4,1,4,3,1,4,1,4,4,2,4,4,1,1,4,4,3,1,1,4,4,3,1,1,4,4,4,1,2,4,4,3,2,1,4,4,4,4,1,4,1,3,2,4,4
s0003,7/2/21 15:37,414,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,3,1,3,2,1,3,2,2,3,3,2,3,3,1,3,1,2,1,2,2,1,2,1,1,1,3,3,1,4,3,1,3,3,1,4,2,3,3,3,4,1,3,2,1,4,2,4,3,2,4,2,3,3,1,4,4,1,1,2,4,3,1,1,4,4,4,1,1,2,4,4,1,1,4,4,4,3,1,4,4,4,4,1,4,1,3,3,3,2
s0004,7/2/21 13:12,446,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,4,1,2,4,1,1,3,4,4,3,1,4,4,2,4,1,2,1,2,4,1,2,2,3,1,2,2,1,4,3,3,3,2,1,4,1,3,1,4,3,1,3,2,2,3,1,3,1,1,3,2,3,1,1,3,4,1,1,3,4,1,1,1,3,4,4,1,4,3,3,2,1,2,3,3,1,4,1,3,2,1,4,2,4,1,1,3,2,3
s0005,7/2/21 11:46,2278,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,4,1,2,3,1,1,4,4,4,4,1,4,3,1,2,1,1,1,1,3,1,1,1,2,1,1,3,1,3,2,2,3,2,1,4,2,3,2,3,3,2,3,3,2,3,2,3,4,2,4,2,4,3,1,4,4,2,2,4,4,3,2,2,4,3,3,2,2,3,4,3,2,2,4,4,3,4,2,3,3,4,3,3,3,2,3,4,3,4
s0006,7/2/21 10:56,847,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,4,1,2,1,1,2,4,4,4,4,2,4,3,1,3,1,1,1,1,3,1,2,1,2,1,2,1,2,4,4,3,4,2,1,4,1,3,3,4,4,1,3,1,1,4,1,4,3,1,4,1,4,2,2,4,3,1,1,4,4,3,1,1,4,4,3,1,4,4,4,3,1,1,4,4,4,4,1,4,3,3,4,1,4,1,3,3,4,4
s0007,7/2/21 13:03,392,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,3,1,3,4,1,1,3,4,3,4,1,4,3,1,3,1,1,2,1,4,1,1,1,1,1,1,3,1,3,2,3,4,2,1,4,1,4,2,4,4,1,4,2,2,4,1,4,3,2,4,2,4,2,2,4,4,1,2,4,4,2,1,1,4,4,4,1,2,3,4,3,1,2,4,4,4,3,1,4,4,3,4,2,4,2,3,4,4,3
s0008,7/2/21 10:44,440,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,2,1,2,3,1,1,2,3,4,3,1,4,2,1,3,1,2,1,2,3,1,2,1,1,1,1,4,1,4,2,4,3,2,2,4,1,2,2,3,4,1,4,4,3,4,1,4,4,3,4,3,4,3,1,4,2,2,1,4,4,3,1,1,4,4,2,2,2,3,4,3,2,3,4,4,4,3,1,4,3,2,4,2,4,1,1,2,4,4
s0009,7/2/21 10:33,491,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,4,1,2,3,1,2,3,3,3,4,1,4,4,1,4,1,1,1,1,4,1,1,1,1,1,1,2,1,4,4,1,4,4,1,1,1,3,2,4,4,1,4,2,1,4,4,4,4,1,4,2,1,4,1,4,2,1,1,4,4,3,1,1,4,4,4,1,1,4,4,4,1,2,4,4,3,4,1,4,4,4,4,4,4,1,4,3,4,4
s0012,7/2/21 10:33,361,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,3,3,3,3,2,2,1,1,2,1,1,1,1,3,2,1,2,1,1,1,2,2,1,2,2,4,3,2,3,2,4,4,3,4,4,4,3,3,4,2,4,1,2,3,2,4,3,2,4,2,2,2,3,4,2,2,2,3,4,3,2,2,4,4,3,3,1,4,4,2,3,2,4,3,1,4,2,4,2,3,4,4,4
